x,y,type,value
0.0,1.6,point,
0.44800000000000006,0.8240000000000001,point,
0.16352000000000003,0.75424,point,
0.16916160000000002,2.2345632,point,
0.233169888,3.492612256,point,
0.33789889504000004,4.55939362208,point,
-1.1178625627328,2.6807833427168,point,
-0.842951844614208,3.923380343818592,point,
-0.5595738541693331,4.968591366030371,point,
-0.2768941214027183,5.84568561529259,point,
-0.001532578580606958,6.579908537854811,point,
0.2618936497206765,7.192983560319814,point,
0.5103289446753676,7.703560280283014,point,
0.7419220141853831,8.127613080453546,point,
0.9557382352757174,8.478794237818098,point,
1.1515292694970838,8.768745572734355,point,
1.3295497019818954,9.007372566044317,point,
2.322631863195125,2.947452338365929,point,
-0.3018112353361165,2.782644842975383,point,
-0.14523375631668367,3.97732056594252,point,
0.03564412976851969,4.986531831303809,point,
0.2297587835553941,5.837126291417496,point,
0.4287800176787848,6.552366996362656,point,
0.6265576948814733,7.152360746201106,point,
0.8186684704972965,7.654444326475682,point,
1.0020459729817293,8.073530938684438,point,
1.1746803145818474,8.422419458962503,point,
1.3353750457530704,8.712069327534854,point,
1.483551561991504,8.951843926574503,point,
1.6190925847557587,9.149725275108667,point,
1.7422177080467416,9.312502780452135,point,
1.8533851630578158,9.445938655062445,point,
1.9532149348016412,9.554912450280765,point,
2.0424291925926257,9.643546985346584,point,
2.121806693117595,9.71531776984089,point,
2.1921483999435916,9.773147836640053,point,
2.254252053417655,9.819489725146301,point,
2.308893834410859,9.85639618423765,point,
2.3568156066187362,9.885581003225568,point,
2.3987165057549484,9.908471228476982,point,
2.4352478790307854,9.926251883975237,point,
2.467010772535177,9.939904186217719,point,
2.494555324103609,9.950238127383654,point,
2.5183815505834137,9.957920195311962,point,
2.4104604220998374,3.484680050026558,point,
0.6141413506924607,1.9030429217523315,point,
0.5981418649586848,3.1930208294617834,point,
0.6361414183933534,4.290142030444168,point,
0.7123258868521171,5.221175069141809,point,
0.8143240065899718,6.009505773296453,point,
0.9325556365333342,6.675506947038388,point,
1.7292585996907486,2.28458613278788,point,
1.5612532550486515,3.472727868882068,point,
1.4659743815466366,4.489368558347811,point,
1.4256529666485536,5.357324299333774,point,
1.4260979936246216,6.096699535767765,point,
1.4560512760116389,6.725150685657615,point,
1.5066496120361976,7.258136031768506,point,
1.5709776115015084,7.709149642521783,point,
1.6436969554771534,8.089938091683456,point,
1.7207399358229187,8.410699499711852,point,
1.799056925437955,8.680264977322157,point,
1.8764089857151478,8.906262953706316,point,
1.9511981560061282,9.095267151221762,point,
2.0223291186540795,9.252929152298252,point,
2.0890969169478977,9.384096614707351,point,
2.151096243994007,9.492918245823333,point,
2.208148537227839,9.582936659190073,point,
2.260243723011266,9.657170218822449,point,
2.307493973312474,9.71818493707863,point,
2.350097274798748,9.768157437584335,point,
2.388308981082309,9.808929930954735,point,
2.422419831158152,9.842058082068233,point,
2.4527391797671587,9.86885257651167,point,
2.3953678444581943,3.446236805102262,point,
2.1739121399935555,4.433486570558594,point,
2.025164781816866,5.281507099375063,point,
1.9326503485193387,6.008274443196129,point,
1.883083773969283,6.629727262775935,point,
1.8658102983849278,7.159944822400773,point,
1.8723365465232196,7.611320687105259,point,
-1.6044760693427234,3.7051279568634974,point,
-1.2842284826530541,2.0460986545611433,point,
-1.0097502640726503,3.3905529956830938,point,
-0.722665604634429,4.522360056893536,point,
-0.43337136166352314,5.472912672544883,point,
-0.1494491505121993,6.269310626129691,point,
0.12374064710981825,6.934891998230725,point,
0.38257522997257454,7.489708572611724,point,
0.6247772883811573,7.950949277521062,point,
0.8490986662248261,8.333315794357656,point,
1.0550664980654083,8.649354478555015,point,
1.2427807024977977,8.909748646849145,point,
1.4127535429970939,9.123575121721862,point,
1.5657835164164042,9.298528711743698,point,
1.7028571374236914,9.441118064325487,point,
1.8250732893831572,9.556836069179717,point,
1.933585738742872,9.650307727227432,point,
2.0295601870205386,9.7254181385936,point,
2.114142884511202,9.785423010323738,point,
2.188438372247471,9.833043843394728,point,
2.2534943701461394,9.87054973199562,point,
2.3102922039040434,9.899827497390431,point,
2.3597414732140543,9.922441684625705,point,
2.4026779196169743,9.939685773003285,point,
2.4398636625945596,9.952625790268112,point,
2.4719891448160998,9.962137375224113,point,
2.4186000933403373,3.4736301477059732,point,
2.194755285247526,4.455841621816464,point,
2.043775657333055,5.299675167134093,point,
1.9491963154184606,6.022972865770656,point,
1.8977357827365178,6.641559083288319,point,
1.8787377786575727,7.169415789485612,point,
1.8837037434383612,7.618853909916467,point,
1.9059023383192657,8.000677673691463,point,
1.9400440945190345,8.324339929104973,point,
1.9820110775053783,8.598087175958465,point,
2.02863290291791,8.82909365646448,point,
2.077501713738803,9.023584291878091,point,
2.1268198283531063,9.186946579546825,point,
2.253322068020146,3.1978403344630455,point,
2.0432373711956457,4.228031401572783,point,
1.9058730215792101,5.112097196489039,point,
1.8244759562018902,5.869047696152515,point,
1.7855664706177072,6.515711503481562,point,
1.7783599601643136,7.066932119134618,point,
-1.481730358942138,3.5637478570474084,point,
-1.1169208908189208,4.688454892847982,point,
-0.7618445614821634,5.6298634945535415,point,
-0.42237333747769723,6.4158577528297975,point,
-0.10238302674285071,7.070374023404435,point,
0.19578938820475433,7.613913240963484,point,
0.47097750961258056,8.063994679290772,point,
0.7228906703423243,8.435556377012652,point,
0.9518793248714819,8.741307293647061,point,
1.158749717886642,8.992036026605142,point,
1.3446187012678512,9.196880633898905,point,
1.5108011214336299,9.363563790763354,point,
2.395177693198695,3.0800636013559486,point,
2.1591035832731285,4.122246953424609,point,
0.8303636094679213,1.9907062004729195,point,
0.7854373160666499,3.258885726023265,point,
0.797977147697583,4.338635374477109,point,
0.8518259905220299,5.255920982397639,point,
0.934288931239631,6.033459795417112,point,
1.0354839833703708,6.69106926885496,point,
1.1478041566190136,7.245989519191902,point,
1.2654731138938375,7.713178925048355,point,
1.3841793038116963,8.105583161735348,point,
1.5007757347093558,8.434378515322578,point,
-1.8927832670419993,3.8007416923541193,point,
-1.4568361092915345,4.906341769182681,point,
1.592301111764881,1.2387446361880445,point,
1.4030057304476706,2.5892408962892426,point,
1.2961245067320897,3.7447345326279495,point,
0.8541069931260126,1.675728659581051,point,
0.7930200905403527,2.990205080918853,point,
0.7936752801960539,4.109953515159411,point,
0.8390221287730223,5.0617134766776575,point,
0.9156373485241752,5.868895570025089,point,
1.0130475690465524,6.551935740580358,point,
1.123167863312784,7.128623476731443,point,
1.239837622885124,7.6144032406892155,point,
1.358438109079924,8.022649249670428,point,
2.0425760735457312,2.7186297282816825,point,
1.8449348516451387,3.829132226097601,point,
1.721359912942272,4.780964998117155,point,
1.6543945259256174,5.5949658518818906,point,
1.6300339811120503,6.289545193062581,point,
1.637110691667746,6.880912054858712,point,
1.6667805701119325,7.383290818963195,point,
1.7120951173536705,7.809125973314238,point,
1.7676458886831892,8.169273272622956,point,
1.829269936285629,8.473176446182185,point,
2.0980989144881677,2.9491725305179877,point,
1.9013509785356622,4.022872694360762,point,
0.8412017076406644,1.899840701065855,point,
0.791015079537199,3.18121652760035,point,
0.7996114787106331,4.27239344527881,point,
0.8505654947151905,5.199549969338563,point,
0.9309626692814544,5.985594854149172,point,
1.030742063055203,6.650517119255538,point,
-1.5229860383953993,3.3001844407389154,point,
-1.1625307550065327,4.466076216163894,point,
-0.809508093108997,5.442666013939571,point,
-0.4703752385850646,6.258646435572995,point,
-0.14947309537438508,6.9386644797804475,point,
-1.8339473838177933,3.0921273736155896,point,
-1.4351701813005007,4.301666162925963,point,
1.419742052814345,1.099255631964101,point,
1.2507509701707573,2.4775776050569123,point,
-0.39401998328064575,2.432739796251795,point,
-0.23760739393847707,3.6835896261452516,point,
1.0670462044114422,1.2622835878508563,point,
0.9574806172637601,2.63025920149677,point,
0.9190688927340669,3.797421096581704,point,
0.933105402687225,4.791045176385086,point,
0.9847813993395447,5.635064183819834,point,
1.0624667567914063,6.350413300273276,point,
1.1571132752836264,6.955352634960629,point,
1.2617603893895075,7.465765208705189,point,
1.3711269393292889,7.89543001182383,point,
1.4812750989028487,8.256270432477084,point,
-1.850375292663472,3.757072767892614,point,
-1.4225360880482465,4.867526864415261,point,
-1.5500642023576172,2.3436726099202607,point,
-1.223807667607164,3.6541242865265264,point,
0.0,0.5846598858442442,point,
0.02338639543376977,2.0969609029676075,point,
-0.540532555684824,2.0667102696026407,point,
-0.3767842615479947,3.378325031389638,point,
-0.18513362106020997,4.486647647143112,point,
-1.203555112469251,2.5444817495276366,point,
-0.9212425756177579,3.810951691597261,point,
-0.6306181216112038,4.876158640882382,point,
-0.3409790577342279,5.769959569614473,point,
-0.05903381628951476,6.518104796481671,point,
0.21054544801317926,7.142750429661001,point,
0.46467364799764244,7.662916047291324,point,
0.7014892426896491,8.094891694277718,point,
0.9200615240573105,8.452598370428476,point,
1.120156230265853,8.747906153901912,point,
1.3020490418820514,8.990913981605992,point,
-2.0772278268411477,3.8774723555861903,point,
-1.6105447585915278,4.978940615321907,point,
-1.1698054201899222,5.896521313367282,point,
-0.7584737546267426,6.658835333169787,point,
-0.3783492781059397,7.290348983379388,point,
-0.02998292705487321,7.811930606996718,point,
0.2869917362832265,8.241340333029406,point,
0.5735965891619188,8.593659613623666,point,
0.8313034853325776,8.88166680801364,point,
1.0618746348532366,9.11616464739829,point,
1.2672400255211826,9.306264964894416,point,
1.4494046202887818,9.459635619139405,point,
-2.1696243369184893,4.014482898877089,point,
1.4494988622233584,0.8393735681316941,point,
0.017599769743370602,1.0183193605296796,point,
0.0556925787030522,2.464867465660493,point,
0.6818090035794804,1.0460482622213119,point,
0.6213795835314108,2.4618686627449358,point,
0.6266473925114966,3.667733179991939,point,
0.6793596108344496,4.692507307292688,point,
0.7651559615009897,5.561456826765407,point,
-1.292947582658808,2.999506373033617,point,
-0.979025190338642,4.201298320384927,point,
-0.6641194789724486,5.210264579940734,point,
-0.35609097392895195,6.055289672108522,point,
-0.06046574095526827,6.761239860249402,point,
0.21905371459799805,7.349472510850202,point,
0.48017455784230645,7.838289485638752,point,
0.7216799535915106,8.243339080479247,point,
0.943161523771954,8.5779710202637,point,
1.144806136016709,8.853548906273266,point,
1.3272271718651332,9.079724324891608,point,
1.4913320690810274,9.264676589283262,point,
1.6382193222902037,9.41532181812753,point,
1.7690992966717745,9.537494772516792,point,
1.8852341930716798,9.636106584772403,point,
1.987893327501824,9.715281229333675,point,
2.0783205775498974,9.77847331183355,point,
2.157711423390755,9.82856949195652,point,
2.2271974895604023,9.867975611227411,point,
2.2878368905754383,9.898691369960883,point,
2.3406090117875578,9.922374188843733,point,
2.3864126275731734,9.940393700045671,point,
2.4260664814390243,9.953878139935894,point,
2.460311634820606,9.963753759687949,point,
2.489815039985033,9.970778230341931,point,
2.5151739132009556,9.975568894191241,point,
2.536920581988462,9.978626603534517,point,
2.555527558831573,9.9803557897248,point,
2.5714126565958293,9.981081318912816,point,
2.5849440108629675,9.981062614812059,point,
2.596444913826005,9.980505462155731,point,
2.6061983952383336,9.979571846279331,point,
-2.0734490009849598,4.394931437086269,point,
-1.586634393353765,5.418629681562727,point,
-1.131894047088191,6.269300605062469,point,
-0.7113379158224636,6.974181276186627,point,
-0.32566997740162895,7.556507601391532,point,
0.025440823264276713,8.036058260278867,point,
0.0,1.2857693216446189,point,
0.051430772865784756,2.6929039233979264,point,
0.1514323138718341,3.886911103973606,point,
0.28419391095000324,4.8978171458226925,point,
0.4374775101404105,5.751776817511288,point,
0.6019269563198004,6.471511194478978,point,
0.7704983606509894,7.07670743705434,point,
-1.6858442615039306,3.3340902591016826,point,
-1.2996040119142735,4.501410490696587,point,
-0.9246069904992689,5.478183077568669,point,
-0.5667886188216318,6.293439895553339,point,
-0.23003273017625342,6.972095455973204,point,
0.08335599758911275,7.535482446784274,point,
0.3722718958221168,8.001825839863068,point,
0.636504145043322,8.386661088050722,point,
0.8764949668088526,8.70320175904138,point,
1.09314879214918,8.96266169651282,point,
1.2876829411873159,9.17453649034993,point,
1.4615119596232158,9.346848699149948,point,
1.6161591136457312,9.486360915892528,point,
1.7531896832345726,9.59876041396282,point,
1.8741616473078995,9.688818764539013,point,
2.431745006974739,3.252598531789417,point,
2.197087197200105,4.267438951742015,point,
2.03822167568977,5.139439621092709,point,
1.9380660091800128,5.8869948109012125,point,
1.8828359002390593,6.52642294889883,point,
1.8614674331591536,7.072146070554442,point,
1.8651331610074582,7.53686546264491,point,
1.8868378053621357,7.931730316807876,point,
1.9378588179018852,2.8341931054280454,point,
1.7605477194337242,3.9315497868977634,point,
1.653727552994576,4.87139541008575,point,
1.6005242364488197,5.674536996453105,point,
1.587427080839621,6.3593354775271855,point,
1.603686437814765,6.941938072664522,point,
1.6408109950491312,7.436499904252253,point,
1.6921493419618516,7.855392478812449,point,
1.7525426398200719,8.209397633312108,point,
