x,y,type
1.0,0.0,coast
0.9993886922232491,0.012044319798687229,coast
0.9951040532079608,0.023317349787099137,coast
0.9946270836890689,0.03586200384417817,coast
1.001754582924437,0.04619615112315428,coast
1.0061464811486729,0.05726316779292039,coast
1.0058635029184921,0.06916642580500146,coast
1.0124641851271663,0.07893166561445654,coast
1.0160543895916678,0.09015839025074941,coast
1.0075062498346976,0.09931909350856817,coast
0.995602584889009,0.10322958431450177,coast
0.9937260614434904,0.1154153200872109,coast
0.9877345322502743,0.12619099057635927,coast
0.9825363685769898,0.13699465677368314,coast
0.9804065619221416,0.14879313262823393,coast
0.9732565064117082,0.15864937424399733,coast
0.9625766132576977,0.16449819248442066,coast
0.9570845480173376,0.17584716652024465,coast
0.9475330153172028,0.18407700341707525,coast
0.9440186412478592,0.19662117770678894,coast
0.9488110999133822,0.2087347846695908,coast
0.9496297676854948,0.22082515931307753,coast
0.9563253562266821,0.23092547960641885,coast
0.961461214591752,0.24167016402440436,coast
0.9700715998797363,0.24989734759963977,coast
0.9696308472090766,0.26223355217395794,coast
0.9643509579471679,0.2733914630715276,coast
0.9696477053848005,0.2842858474584475,coast
0.9735500540982698,0.2957538385251739,coast
0.984678364269395,0.30080243764281545,coast
0.9959771328933534,0.3054570555538444,coast
1.002260415311369,0.31596759606720504,coast
1.0070860881621322,0.32722210544633584,coast
0.9998397053730564,0.336280846158819,coast
0.9889284396013496,0.3402197706415923,coast
0.9827910733748335,0.34977207186590975,coast
0.9736460832063986,0.35650132722573286,coast
0.9688019872866451,0.3678946267399468,coast
0.9572838703938419,0.3724339573452321,coast
0.945029604087313,0.371566735343318,coast
0.9355141667983585,0.37933690715042173,coast
0.9292799803589707,0.3897383738500537,coast
0.9210006481310747,0.39859886186848265,coast
0.9085129314621874,0.3958064316084947,coast
0.8970595816535006,0.401512701188453,coast
0.8867267789168423,0.4062777849422806,coast
0.8753715127061635,0.40700632105003787,coast
0.8663270438935955,0.41378248818533925,coast
0.855741180859295,0.4177395528760011,coast
0.8614168059639418,0.4304177143945794,coast
0.8579356867034594,0.44386503042841885,coast
0.864516753227215,0.45557139223018805,coast
0.8754411588459472,0.46338207114443275,coast
0.8671081412322142,0.4739276183063208,coast
0.8683229766796796,0.48731312996370507,coast
0.8619251974587142,0.49805825199565196,coast
0.8568423955219291,0.5094842902816484,coast
0.8588578617829994,0.5219241589115591,coast
0.8565669990496121,0.5343162686478276,coast
0.8564719309780866,0.547726683766566,coast
0.8470217267708237,0.5572420351545148,coast
0.8357498204879097,0.5626281199814965,coast
0.8245950612782603,0.568252809127483,coast
0.8202189683281805,0.5807410151643863,coast
0.8090169947969529,0.5877852517116324,coast
0.7976789930742606,0.5898953669738326,coast
0.786710399387451,0.5934580656724635,coast
0.7772251800674216,0.6012662859221937,coast
0.7751854908418502,0.6133814564484571,coast
0.7724843994797238,0.6239648169898,coast
0.7658221828596906,0.632620351901194,coast
0.7655822701850332,0.6434683115068826,coast
0.761783090818364,0.6536320717282764,coast
0.7552909337322178,0.6627945114466011,coast
0.7443205164678979,0.6651920831910632,coast
0.7348689493637811,0.6706554642164385,coast
0.7298946981103481,0.6803733589174409,coast
0.7212191532777128,0.6873305580317636,coast
0.7101019861813359,0.6870543454132331,coast
0.6994888704062971,0.6867121753361459,coast
0.6894432243563641,0.6901531493632921,coast
0.6790885916058553,0.6926886331567167,coast
