x,y,type,value
1.0,0.0,coast,
0.943175680510361,-0.011356786839216601,coast,
0.8966250244757069,0.02315431739572919,coast,
0.8306896759908717,-0.029596054382962006,coast,
0.7931952613227331,0.046062658078330085,coast,
0.8290229117728596,0.09067717216719116,coast,
0.8531475123546987,0.1425624210432288,coast,
0.7863143048524156,0.18794813810594696,coast,
0.8324477939876724,0.25426738205932353,coast,
0.803510586383973,0.2809931772015717,coast,
0.7678903017654535,0.29781059179420977,coast,
0.7221107497319502,0.27840669283892383,coast,
0.6928488999908472,0.3186064792660218,coast,
0.6426976524859792,0.2516200799477918,coast,
0.5702581354968905,0.29351091066649965,coast,
0.5123005110339218,0.3588206085738764,coast,
0.5760306388111661,0.4185107558985348,coast,
0.5281485678045691,0.4787833233261479,coast,
0.5364898807938986,0.5553071601733095,coast,
0.47459028149593885,0.5150203157599437,coast,
0.4007908649574473,0.5121504125189017,coast,
0.46804555677308146,0.5213181117778942,coast,
0.4991038564303766,0.5816722525083935,coast,
0.5107298768167307,0.646657961668431,coast,
0.4698122028677974,0.6984657864024006,coast,
0.39797934959261116,0.6979638694713903,coast,
0.3441558085753441,0.6503903772449136,coast,
0.40517523608475503,0.7273472860897066,coast,
0.3245988427981696,0.7835004800990196,coast,
0.22815713883203925,0.759275961656527,coast,
0.21435327074890242,0.8577507441320661,coast,
0.20721344270925146,0.9596680904604225,coast,
0.30901699574058583,0.9510565158514308,coast,
0.3138576354792506,0.8789609055996843,coast,
0.2550847482143237,0.8369257235113972,coast,
0.2883634811224107,0.746563727629647,coast,
0.19421624823493666,0.7263384240884648,coast,
0.21514796133930753,0.6227763746647559,coast,
0.3191067641635833,0.6416390894658062,coast,
0.27254886962515834,0.5736383855373847,coast,
0.2911396061140783,0.49335066670435584,coast,
0.21708321884213586,0.47403882377819895,coast,
0.15404311610228696,0.4306424965197112,coast,
0.08539322531707948,0.39061340935384153,coast,
0.054555709347334225,0.31737282679902146,coast,
-0.010307197365180588,0.4067437515290255,coast,
-0.10823819238400531,0.35571553316981397,coast,
-0.1813005048844059,0.4177704016568545,coast,
-0.1665155393921584,0.5124821380269746,coast,
-0.2505050428792993,0.532999156238382,coast,
-0.26754108621185185,0.6177632875668813,coast,
-0.3109034167189352,0.5590234782849871,coast,
-0.3495620095950363,0.4970866548411044,coast,
-0.4140802959764008,0.5220202405832398,coast,
-0.4790434313007688,0.4982697874428042,coast,
-0.4456455052408984,0.5629168160246377,coast,
-0.47866868845443056,0.6277560721894524,coast,
-0.4879082693916908,0.5335139765778852,coast,
-0.44269778396623144,0.4503096831264636,coast,
-0.5515918870663941,0.545502967381132,coast,
-0.6209517921016353,0.41858216281906957,coast,
-0.6236939472143308,0.5216540867166367,coast,
-0.6068462071911591,0.6233767221854427,coast,
-0.7135397296207657,0.6374369376024741,coast,
-0.8090169926869255,0.587785254615836,coast,
-0.7367704272219152,0.6699154057471829,coast,
-0.6689191162519538,0.5841183921277946,coast,
-0.6470098575669571,0.5123724239132452,coast,
-0.5828328647852721,0.4735289795671427,coast,
-0.6733298414130561,0.44119468187852656,coast,
-0.6362365421746411,0.35254200714507516,coast,
-0.7219260139843096,0.36330132333584114,coast,
-0.7473040081771011,0.2807519085913168,coast,
-0.7596910571656387,0.24174755707302095,coast,
-0.7730563365528508,0.20306748821438295,coast,
-0.7748184004231182,0.16217575204386472,coast,
-0.7782811705487449,0.12139281223836226,coast,
-0.7737495167048419,0.05553717715012406,coast,
-0.7550644571316418,-0.007774505090850335,coast,
-0.8220801168982368,-0.029370468061983755,coast,
-0.8860712076029487,3.180812217145399e-9,coast,
-0.9612443251354426,-0.027497994427705022,coast,
-1.0360619512149423,9.530213689290697e-4,coast,
-1.077538556083454,-0.11420718347973285,coast,
-1.1787318282260495,-0.04534425291996769,coast,
-1.2405732681439892,-0.14203378658029112,coast,
-1.1398836128187797,-0.19712301348597103,coast,
-1.1667943161809078,-0.2708683605482382,coast,
-1.2030497038134929,-0.3404967242830674,coast,
-1.1419125954838714,-0.3786804084920271,coast,
-1.095356137472624,-0.43370981855723123,coast,
-1.0457179656686324,-0.3551497196173696,coast,
-0.9596982933341334,-0.39031011234766927,coast,
-1.1109415096957378,-0.4550186830134937,coast,
-1.010416131761841,-0.585235264155314,coast,
-0.9081027736281793,-0.4590522140173714,coast,
-0.8090169969069803,-0.5877852488074289,coast,
-0.720717329265404,-0.6458956501590162,coast,
-0.7971403280917896,-0.7189242425132281,coast,
-0.8745007071076265,-0.7421666296620915,coast,
-0.87797415725959,-0.822868376519848,coast,
-0.9584793084211324,-0.9001543309281684,coast,
-0.8667128438116755,-0.9636611343859797,coast,
-0.7989133520468362,-0.9856379391538812,coast,
-0.7394540422588046,-1.024936049934272,coast,
-0.644750221373598,-0.9648197822660586,coast,
-0.5326687526892355,-0.9693500919872398,coast,
-0.596486908442931,-1.0943214640138448,coast,
-0.4836957762881514,-1.177800571203956,coast,
-0.45885046624479925,-1.1034629405923506,coast,
-0.43348188493433937,-1.0293022512860042,coast,
-0.38252853064504233,-0.9654679189735724,coast,
-0.3051776025171046,-0.939240067120033,coast,
-0.2536961740812173,-0.8056661554590936,coast,
-0.12216165509405996,-0.8621550717615063,coast,
-0.07232514062420572,-0.9735226750630389,coast,
0.04918892590213578,-0.9625339137195847,coast,
0.13676690428104746,-1.0531683237978022,coast,
0.1952095980647572,-1.1648327770963662,coast,
0.10585754635319217,-1.2537637049172474,coast,
-0.005166632538439163,-1.3134807943438767,coast,
0.08124951196337787,-1.2762947166599856,coast,
0.15976701908550706,-1.3281170620275748,coast,
0.07018879915543202,-1.227232999042576,coast,
0.19006346692755077,-1.1653305299744827,coast,
0.1735660347010814,-1.090548432018768,coast,
0.24036538121429551,-1.0531001376633151,coast,
0.25331718317602747,-0.9876985989002325,coast,
0.3090169889123937,-0.9510565180700449,coast,
0.38730905937403887,-0.8896163002536244,coast,
0.33097620860181065,-0.8075726619483039,coast,
0.30269541223361807,-0.7127956274268079,coast,
0.20602391786960791,-0.733702848507984,coast,
0.26468758045024554,-0.8033419253577284,coast,
0.33129178017571764,-0.741254028704766,coast,
0.42342686845457533,-0.7759646964012225,coast,
